country_id;country_name
AUS;Australia
AUT;Austria
BEL;Belgium
CAN;Canada
CZE;Czechia
DNK;Denmark
FIN;Finland
FRA;France
DEU;Germany
GRC;Greece
HUN;Hungary
ISL;Iceland
IRL;Ireland
ITA;Italy
JPN;Japan
KOR;Korea, Rep.
LUX;Luxembourg
MEX;Mexico
NLD;Netherlands
NZL;New Zealand
NOR;Norway
POL;Poland
PRT;Portugal
SVK;Slovak Republic
ESP;Spain
SWE;Sweden
CHE;Switzerland
TUR;Turkiye
GBR;United Kingdom
USA;United States
CHL;Chile
EST;Estonia
ISR;Israel
SVN;Slovenia
LVA;Latvia
LTU;Lithuania
CRI;Costa Rica
